                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.57766,                 1.0027,                 1.7325,                 1.1102,                0.51701,                   0.59,                0.64547,                0.58013,                0.51701,                   0.59,                0.64547,                0.53859,                0.56872,                 1.1043,                 3.4779,                 1.2635,             0.00036848,             0.00036848,             0.00036848
                      2,                0.63703,                0.78617,                 1.2226,                 1.1355,                0.59712,                    0.6,                 0.5987,                0.56406,                0.59712,                    0.6,                0.59839,                0.57635,                0.49613,                0.57299,                 2.4227,                 1.2117,             0.00072662,             0.00072662,             0.00072662
                      3,                0.69738,                0.85145,                 1.1173,                 1.1766,                0.64187,                   0.78,                0.66394,                0.55433,                0.64187,                   0.78,                0.66394,                0.60807,                 1.0077,                 0.5117,                 3.5489,                  1.838,              0.0010725,              0.0010725,              0.0010725
                      4,                 0.7039,                0.77301,                 1.1064,                 1.1719,                0.59575,                    0.6,                0.61264,                0.56885,                0.59575,                    0.6,                0.61264,                0.57999,                0.54387,                0.47696,                 2.6607,                 1.2802,               0.001056,               0.001056,               0.001056
                      5,                0.66709,                0.79213,                 1.0147,                 1.1646,                0.98569,                    0.6,                0.68402,                 0.5716,                0.98569,                    0.6,                0.68402,                0.64196,                 0.6073,                0.47163,                 2.5594,                 1.2799,               0.001056,               0.001056,               0.001056
                      6,                0.60358,                0.72241,                0.95134,                 1.1084,                0.59202,                    0.6,                0.65059,                0.58961,                0.59202,                    0.6,                0.65059,                0.62613,                0.52072,                0.43478,                 2.2531,                 1.1665,              0.0010377,              0.0010377,              0.0010377
                      7,                0.61568,                0.73151,                0.84311,                 1.1159,                0.59804,                    0.6,                0.61829,                0.55176,                0.59804,                    0.6,                0.61829,                0.59424,                0.48019,                0.46817,                 2.3708,                 1.1064,              0.0010193,              0.0010193,              0.0010193
                      8,                0.54018,                0.64076,                0.72401,                 1.0666,                0.59816,                    0.6,                0.66734,                0.62051,                0.59816,                    0.6,                0.66734,                0.64257,                 0.4217,                0.43377,                 2.2715,                 1.0724,               0.001001,               0.001001,               0.001001
                      9,                 0.5163,                0.59815,                0.66926,                 1.0512,                0.59665,                    0.6,                  0.597,                0.56072,                0.59665,                    0.6,                  0.597,                0.58108,                0.43028,                0.40115,                  2.885,                 1.0799,             0.00098268,             0.00098268,             0.00098268
                     10,                0.52968,                0.69398,                0.66599,                 1.0535,                0.79791,                    0.6,                  0.597,                0.57225,                0.79791,                    0.6,                  0.597,                0.57675,                0.42836,                0.44248,                 2.7637,                 1.0451,             0.00096435,             0.00096435,             0.00096435
                     11,                0.50237,                0.61931,                0.60902,                 1.0466,                0.59671,                    0.6,                  0.597,                0.53139,                0.59671,                    0.6,                  0.597,                0.58263,                0.46491,                0.41209,                 2.7111,                 1.0936,             0.00094602,             0.00094602,             0.00094602
                     12,                0.52877,                0.64266,                 0.6412,                 1.0619,                0.79812,                    0.6,                0.68893,                0.65875,                0.79812,                    0.6,                0.68893,                0.67331,                 0.3979,                0.38821,                 2.4221,                 1.0289,             0.00092769,             0.00092769,             0.00092769
                     13,                0.48822,                0.56804,                0.56787,                  1.025,                0.79808,                    0.6,                  0.597,                0.56458,                0.79808,                    0.6,                  0.597,                0.57823,                0.37641,                0.41463,                 2.7719,                 1.0325,             0.00090935,             0.00090935,             0.00090935
